============================================================
  CPU SCHEDULING SIMULATION - FIFO (First-In First-Out)
============================================================

Number of processes:                         500
Total elapsed time (CPU burst units):        14734
Throughput (avg burst time per process):     21.1160
CPU utilization (%):                         71.66%
Average waiting time (burst units):          17.88
Average turnaround time (burst units):       39.00
Average response time (burst units):         17.88

------------------------------------------------------------
PID   Arrival   Burst   Start     Finish    Wait      Turnaround   Response  
------------------------------------------------------------
1     10        22      10        32        0         22           0         
2     68        12      68        80        0         12           0         
3     98        34      98        132       0         34           0         
4     148       28      148       176       0         28           0         
5     192       3       192       195       0         3            0         
6     223       8       223       231       0         8            0         
7     266       18      266       284       0         18           0         
8     268       14      284       298       16        30           16        
9     268       30      298       328       30        60           30        
10    296       10      328       338       32        42           32        
11    354       6       354       360       0         6            0         
12    375       2       375       377       0         2            0         
13    377       31      377       408       0         31           0         
14    406       10      408       418       2         12           2         
15    457       21      457       478       0         21           0         
16    469       1       478       479       9         10           9         
17    529       9       529       538       0         9            0         
18    559       12      559       571       0         12           0         
19    581       39      581       620       0         39           0         
20    630       17      630       647       0         17           0         
21    685       38      685       723       0         38           0         
22    696       30      723       753       27        57           27        
23    744       21      753       774       9         30           9         
24    745       34      774       808       29        63           29        
25    782       29      808       837       26        55           26        
26    804       4       837       841       33        37           33        
27    817       15      841       856       24        39           24        
28    864       24      864       888       0         24           0         
29    912       27      912       939       0         27           0         
30    953       21      953       974       0         21           0         
31    993       24      993       1017      0         24           0         
32    1038      25      1038      1063      0         25           0         
33    1086      17      1086      1103      0         17           0         
34    1107      20      1107      1127      0         20           0         
35    1122      7       1127      1134      5         12           5         
36    1150      17      1150      1167      0         17           0         
37    1160      20      1167      1187      7         27           7         
38    1211      2       1211      1213      0         2            0         
39    1269      23      1269      1292      0         23           0         
40    1272      39      1292      1331      20        59           20        
41    1315      28      1331      1359      16        44           16        
42    1331      1       1359      1360      28        29           28        
43    1337      29      1360      1389      23        52           23        
44    1342      1       1389      1390      47        48           47        
45    1365      22      1390      1412      25        47           25        
46    1401      30      1412      1442      11        41           11        
47    1413      5       1442      1447      29        34           29        
48    1431      10      1447      1457      16        26           16        
49    1440      37      1457      1494      17        54           17        
50    1488      2       1494      1496      6         8            6         
51    1523      20      1523      1543      0         20           0         
52    1556      3       1556      1559      0         3            0         
53    1576      12      1576      1588      0         12           0         
54    1587      13      1588      1601      1         14           1         
55    1596      5       1601      1606      5         10           5         
56    1638      24      1638      1662      0         24           0         
57    1689      13      1689      1702      0         13           0         
58    1737      28      1737      1765      0         28           0         
59    1761      32      1765      1797      4         36           4         
60    1818      8       1818      1826      0         8            0         
61    1827      25      1827      1852      0         25           0         
62    1882      2       1882      1884      0         2            0         
63    1899      29      1899      1928      0         29           0         
64    1939      13      1939      1952      0         13           0         
65    1940      18      1952      1970      12        30           12        
66    1973      7       1973      1980      0         7            0         
67    2022      36      2022      2058      0         36           0         
68    2076      1       2076      2077      0         1            0         
69    2093      33      2093      2126      0         33           0         
70    2104      34      2126      2160      22        56           22        
71    2147      20      2160      2180      13        33           13        
72    2189      29      2189      2218      0         29           0         
73    2248      26      2248      2274      0         26           0         
74    2265      8       2274      2282      9         17           9         
75    2300      36      2300      2336      0         36           0         
76    2306      40      2336      2376      30        70           30        
77    2357      18      2376      2394      19        37           19        
78    2374      21      2394      2415      20        41           20        
79    2433      30      2433      2463      0         30           0         
80    2492      32      2492      2524      0         32           0         
81    2502      4       2524      2528      22        26           22        
82    2524      12      2528      2540      4         16           4         
83    2561      11      2561      2572      0         11           0         
84    2574      24      2574      2598      0         24           0         
85    2605      32      2605      2637      0         32           0         
86    2607      23      2637      2660      30        53           30        
87    2658      32      2660      2692      2         34           2         
88    2712      37      2712      2749      0         37           0         
89    2745      38      2749      2787      4         42           4         
90    2786      33      2787      2820      1         34           1         
91    2826      1       2826      2827      0         1            0         
92    2832      29      2832      2861      0         29           0         
93    2854      39      2861      2900      7         46           7         
94    2882      27      2900      2927      18        45           18        
95    2899      25      2927      2952      28        53           28        
96    2944      12      2952      2964      8         20           8         
